List of all schools sorted by school number (Includes closed schools),,,
The information in this document is up to date as at 31 August 2022,,,
,,,
Number,Closed,Name of School,Notes Or Old Name
560,*,Montessori College of Auckland  (Closed),
563,,Albany Senior High School,
564,,Ormiston Senior College,
565,,Stonefields School,
566,,Maraekakaho School,
567,,Te Wharekura o Te Kaokaoroa o Patetere,Te Kura o Te Kaokaoroa o Patetere
569,*,St Mark's Church School (Sec Dept) (Mt Victoria) (Closed),
570,,Mission Heights Primary School,
571,,ACG Sunderland,Sunderland School and College
572,,Te Matauru Primary,Opened 2020
575,*,Auckland Montessori Primary School,
576,*,Global Indian International School (Closed),
577,,Te Totara Primary School,
579,,Knights Stream School- Mingimingi Hautoa,
580,*,Wigram Primary School – Te Piki Kāhu,Never opened with this number; Became school 3505
584,,West Rolleston Primary School,
585,,Ararira Springs Primary- Te Puna o Ararira,
586,,Shotover Primary School,
588,,Hingaia Peninsula School,
589,,Te Kura o Nga Ruahine Rangi,
593,,Te Uho O Te Nikau Primary School,
595,,Kauri Flats School,
600,,TKKM o Ngaringaomatariki,
601,,Kumeroa School,(Merger of 2881 and 2589 Kumeroa-Hopelands School)
602,*,Hutt Valley Christian School (Primary Dept) - (Merged),(Now part of 611)
603,,KingsGate School,
604,,Golden Grove School,
605,,Wentworth Primary,
607,,Big Rock Primary School,
608,,Ashburton Christian School,
610,,Seven Oaks School,Seven Oaks Education Centre
611,*,Hutt Valley Christian School,
612,,Henderson - Teen Parent Unit - He Wero o nga Wahine,
613,*,Sunderland School,
614,,Amesbury School,
615,,Rototuna Senior High School,
616,,Murihiku Young Parents  Learning Centre,
617,*,City Impact Church School (Secondary),"Closed 2021, became part of 481"
618,,Sancta Maria Catholic Primary School,
620,,Huanui College,
621,*,Destiny College,(Now part of 1655)
622,,Silverstream Christian School,
623,*,Tu Toa,
624,,Te Karaka Area School,
625,,Tamaoho School,Opened 2021 (previously Pukekohe West School)
626,*,Titirangi Rudolf Steiner High School,
627,*,Chapman College,
628,,TKKM o Tuia te Matangi,
